user,item
0,52
0,27
0,44
0,69
0,12
0,256
0,41
0,253
0,0
0,244
0,102
0,185
0,224
0,98
0,17
0,110
0,159
0,58
0,15
0,267
0,219
0,109
0,130
0,202
0,112
0,141
0,212
0,54
0,207
0,146
0,235
0,182
0,148
0,40
0,111
0,206
0,246
0,217
0,147
0,243
0,134
0,193
0,59
0,81
0,13
0,237
0,169
0,45
0,194
0,160
0,19
0,175
0,31
0,163
1,280
1,285
1,300
1,304
1,295
1,292
1,305
1,9
1,274
1,276
1,236
1,314
2,340
2,329
2,299
2,342
2,326
2,319
2,347
2,332
2,348
2,298
3,10
3,356
3,361
3,357
4,383
4,233
4,229
4,238
4,395
4,208
4,439
4,209
4,61
4,173
4,224
4,365
4,448
4,363
4,413
4,397
4,120
4,171
4,366
4,385
4,408
4,379
4,378
4,432
4,193
4,389
4,150
4,28
4,258
4,376
4,403
4,416
4,393
4,404
4,49
5,474
5,467
5,457
5,267
5,256
5,210
5,58
5,317
5,528
5,488
5,6
5,499
5,302
5,31
5,68
5,426
5,97
5,513
5,468
5,69
5,165
5,27
5,316
5,517
5,134
5,503
5,85
5,308
5,275
5,167
5,245
5,123
5,521
5,0
5,185
5,203
5,174
5,70
5,515
5,506
5,88
5,172
6,655
6,96
6,522
6,98
6,207
6,85
6,131
6,67
6,561
6,540
6,200
6,442
6,151
6,280
6,637
6,92
6,153
6,150
6,237
6,500
6,628
6,547
6,559
6,214
6,592
6,398
6,155
6,8
6,284
6,556
6,657
6,640
6,660
6,647
6,203
6,43
6,450
6,602
6,134
6,611
6,439
6,553
6,197
6,564
6,631
6,658
6,430
6,195
6,546
6,446
6,490
6,316
6,501
6,554
6,584
6,614
6,520
6,7
6,264
6,653
6,259
6,6
6,225
6,558
6,606
6,429
6,194
6,560
6,541
6,578
6,97
6,588
6,49
6,22
6,494
6,105
6,142
6,545
6,627
6,416
7,258
7,10
7,434
7,54
7,517
7,176
7,21
7,173
7,81
7,272
7,55
8,6
8,293
8,241
8,478
9,477
9,709
9,275
9,12
9,293
9,175
9,199
9,237
9,695
9,485
9,496
9,332
9,588
9,6
9,173
9,698
9,702
9,628
9,15
9,403
9,47
9,693
9,495
9,529
9,656
9,197
9,128
9,136
9,288
9,710
9,3
9,84
9,155
9,177
9,133
9,487
10,392
10,174
10,189
10,717
10,394
10,175
10,716
10,69
10,202
10,750
10,238
10,273
10,448
10,743
10,736
10,747
10,134
10,422
10,39
10,659
10,698
10,267
10,190
10,516
10,68
10,543
10,53
10,427
10,289
10,401
10,709
10,212
10,503
10,661
10,523
10,317
11,479
11,415
11,752
11,126
11,299
11,214
11,590
11,190
11,132
11,95
12,550
12,793
12,748
12,761
12,327
12,711
12,362
12,505
12,369
12,601
12,268
12,280
12,811
12,553
12,577
12,284
12,629
12,645
12,873
12,271
12,70
12,304
12,803
12,409
12,575
12,427
12,408
12,847
12,837
12,3
12,428
12,108
12,190
12,901
12,845
12,127
12,861
12,174
12,672
12,833
12,126
12,484
12,413
12,866
12,20
12,221
12,331
12,758
12,872
12,225
12,850
12,326
12,892
12,63
12,199
12,821
12,110
12,774
12,180
12,538
12,201
12,893
12,93
12,508
12,28
12,792
12,825
12,319
12,314
12,891
12,832
12,584
12,228
12,829
12,160
12,116
12,784
12,487
12,868
12,678
12,195
12,587
12,669
12,870
12,196
12,241
12,39
12,27
12,818
12,22
12,902
12,356
12,96
12,352
12,897
12,914
12,263
12,915
12,856
12,261
12,81
12,753
12,452
12,638
12,874
12,404
12,58
12,755
12,523
12,900
12,537
12,757
12,200
12,216
12,13
12,731
12,813
12,301
12,769
12,179
12,386
12,506
12,670
12,291
12,438
12,807
12,109
13,99
13,110
13,123
13,201
13,18
13,212
13,275
13,209
13,595
13,12
13,518
13,506
13,919
13,115
13,497
13,92
13,627
13,150
13,491
14,136
14,675
14,929
14,471
14,302
14,507
14,110
14,0
14,470
14,926
14,927
14,322
14,281
14,472
14,251
14,117
14,279
14,677
14,234
14,268
15,509
15,704
15,7
15,654
15,143
15,285
15,426
15,134
15,508
15,299
15,95
15,179
15,207
15,403
15,151
15,811
15,938
15,481
15,21
15,94
15,75
15,99
15,150
15,605
15,208
15,11
15,945
15,283
16,293
16,236
16,8
16,268
16,124
17,187
17,475
17,241
17,282
17,752
17,131
17,185
17,150
17,208
17,12
17,953
17,706
17,112
17,7
17,626
17,922
17,608
17,171
17,190
17,68
17,268
17,316
17,11
17,110
17,78
17,508
17,659
17,152
17,153
17,220
17,97
17,151
17,602
17,920
17,493
17,548
17,186
17,429
17,965
17,793
17,713
17,628
17,70
17,606
17,496
17,519
17,954
17,167
17,958
17,653
17,486
17,51
17,8
17,495
17,746
18,654
18,201
18,152
18,287
19,97
19,632
19,142
19,171
19,207
19,567
19,14
19,741
19,251
20,163
20,947
20,670
20,49
20,669
20,244
20,444
20,655
20,636
20,216
20,447
20,329
20,184
20,323
20,442
20,261
20,679
20,285
20,668
20,976
20,199
20,263
20,117
20,395
20,773
20,288
20,978
20,299
20,595
20,990
20,799
20,241
20,298
20,300
20,290
21,127
21,225
21,108
21,664
21,240
21,104
21,226
21,691
21,20
21,232
21,931
21,501
21,180
21,385
21,404
21,510
21,877
21,143
21,410
21,406
21,175
21,109
21,95
21,791
21,1001
22,212
22,403
22,130
22,218
22,628
22,226
22,58
22,169
22,221
22,90
22,161
22,142
22,188
22,99
22,174
22,510
22,418
22,173
22,432
22,87
22,82
22,517
22,712
22,190
22,233
22,257
22,131
22,282
22,413
22,223
23,236
23,476
23,741
23,131
23,91
23,698
23,179
23,175
23,237
23,177
23,401
23,24
23,222
24,175
24,126
24,6
24,188
24,172
24,22
24,134
24,238
24,928
24,500
24,431
24,221
24,968
24,78
24,691
25,870
25,507
25,814
25,275
25,840
25,750
25,315
25,124
25,292
25,49
25,257
25,281
25,320
25,115
25,254
25,12
25,110
25,273
25,287
25,1014
25,303
26,243
26,99
26,294
26,929
26,285
27,270
27,422
27,433
27,216
27,97
27,94
27,30
27,222
27,175
27,227
27,200
27,163
27,645
27,221
27,587
28,11
28,311
28,357
28,747
28,656
28,878
29,537
29,254
29,81
29,288
29,314
29,285
29,779
29,538
30,318
30,174
30,261
30,513
30,1020
30,518
30,305
31,249
31,287
31,289
31,180
31,306
31,99
31,49
31,121
32,299
32,293
32,270
32,879
33,689
33,323
33,898
33,897
34,679
34,321
34,260
34,242
34,265
35,872
35,287
35,318
35,877
36,91
36,1026
36,146
36,684
36,49
36,21
36,565
36,232
36,929
36,10
36,272
37,256
37,404
37,450
37,525
37,21
37,549
37,0
37,1031
37,293
37,1013
37,402
37,767
37,671
37,589
37,401
37,83
37,93
37,87
37,94
37,152
37,417
37,716
37,615
37,70
38,346
38,299
38,271
38,344
39,875
39,332
39,309
39,753
39,267
39,346
39,315
40,204
40,317
40,174
40,155
40,312
40,57
40,99
40,95
40,194
40,96
41,182
41,408
41,71
41,379
41,404
41,431
41,500
41,134
41,11
41,96
41,289
41,171
41,558
41,160
41,202
41,69
41,87
41,683
41,280
41,520
41,755
41,1049
41,427
41,124
41,466
41,410
41,98
41,409
41,923
41,68
41,264
41,70
41,24
41,215
41,218
41,130
42,27
42,731
42,316
42,565
42,301
42,289
42,215
42,481
42,293
42,185
42,315
42,6
42,549
42,704
42,249
42,142
42,290
42,195
42,943
42,746
42,8
42,7
42,723
42,68
42,216
42,320
42,150
42,160
42,256
42,288
42,139
42,0
42,384
42,81
42,10
42,317
42,945
42,595
42,755
42,685
42,282
42,402
42,13
42,730
43,163
43,195
43,172
43,197
43,207
43,4
43,664
43,691
43,142
43,184
43,66
43,158
43,81
43,147
43,89
43,327
43,716
43,8
43,602
43,221
43,590
43,6
43,411
43,173
43,55
43,248
43,201
43,431
43,30
43,167
44,180
44,763
44,1000
44,236
44,1059
44,277
44,596
44,120
44,825
45,537
45,331
45,261
45,6
45,1023
46,267
46,291
46,1021
46,261
46,305
47,131
47,97
47,227
47,478
47,1063
47,495
47,182
47,194
47,307
47,242
47,288
47,1062
47,55
48,269
48,403
48,299
48,366
48,173
48,417
48,1079
48,716
48,212
48,381
48,945
48,1068
48,1077
48,53
48,1070
48,472
48,84
48,568
48,624
48,122
48,319
48,731
48,1075
48,714
48,174
48,918
48,153
48,0
48,121
48,282
48,357
48,626
48,476
48,701
48,203
48,16
48,178
48,720
48,558
48,737
48,345
48,24
48,180
49,318
49,543
49,1009
49,474
50,691
50,180
50,484
50,183
51,497
51,203
51,106
51,462
51,120
51,249
51,1084
51,1010
51,274
51,317
51,287
52,198
52,49
52,256
52,99
52,14
53,150
53,410
53,327
53,470
53,117
53,324
53,819
53,0
53,287
53,306
53,147
53,267
53,105
54,21
54,1015
54,253
54,180
55,719
55,225
55,472
55,215
55,52
55,280
55,1090
55,167
55,1089
55,61
55,236
55,394
55,870
55,229
55,68
55,6
55,482
55,62
55,1035
55,173
55,238
55,120
55,78
55,549
55,734
55,63
55,390
55,50
55,848
55,152
55,226
55,714
55,27
55,117
55,185
55,861
55,1034
56,294
56,180
56,251
56,824
56,1094
56,125
56,242
56,716
56,247
56,41
56,6
56,150
56,870
56,677
56,104
56,762
56,931
56,283
56,198
56,759
56,844
57,11
57,583
57,407
57,1088
57,49
57,567
57,0
57,227
57,212
57,19
57,949
57,245
57,1062
57,511
57,282
57,192
57,1083
57,184
57,479
57,740
57,55
57,208
57,639
57,8
57,366
57,41
57,31
57,1096
57,239
57,1098
58,822
58,110
58,1112
58,709
58,381
58,708
58,130
58,142
58,404
58,379
58,657
58,918
58,1020
58,179
58,417
58,289
58,528
58,272
58,639
58,469
58,621
58,207
58,740
58,442
58,483
58,225
58,431
58,450
58,44
58,678
58,115
58,171
58,275
58,611
58,226
58,1106
58,80
58,24
58,723
58,1119
58,1113
58,21
58,1117
58,53
58,183
58,683
58,320
58,726
58,549
58,218
58,409
58,356
58,46
58,105
58,609
58,82
58,23
58,286
58,287
58,203
58,426
58,41
58,49
58,131
58,384
58,169
58,930
58,569
58,99
58,1008
58,391
58,9
58,472
58,370
58,716
58,558
59,171
59,214
59,660
59,510
59,59
59,636
59,69
59,492
59,356
59,227
59,1124
59,204
59,402
59,14
59,698
59,672
59,78
59,151
59,177
59,221
59,545
59,501
59,614
59,602
59,172
59,152
59,683
59,403
59,196
59,490
59,326
59,617
59,182
59,659
59,607
59,500
59,178
59,509
59,46
59,504
59,528
60,332
60,299
60,689
60,303
61,229
61,930
61,664
61,214
61,82
61,327
61,1073
61,698
61,158
61,714
61,511
61,1017
61,474
61,240
61,7
61,88
61,189
61,874
61,54
61,280
61,198
61,152
61,527
61,545
61,234
61,69
61,156
61,865
61,948
61,75
61,701
61,181
61,746
61,400
61,728
61,131
61,482
61,8
61,284
61,507
61,209
61,244
61,301
61,190
61,282
61,175
62,923
62,320
62,261
62,110
62,947
62,108
62,257
62,107
62,283
62,507
62,407
62,268
62,747
62,78
62,474
62,287
62,1009
62,595
63,510
63,846
63,82
63,30
63,1139
63,462
63,434
63,198
63,126
63,211
63,287
63,419
63,124
63,310
63,21
63,7
63,47
63,97
63,565
63,530
63,234
63,424
63,495
63,735
63,662
63,683
63,71
63,131
63,161
63,1132
63,233
63,208
63,6
63,332
63,474
63,388
63,3
63,432
63,9
63,150
64,510
64,76
64,581
64,660
64,190
64,47
64,209
64,8
64,195
64,254
64,525
64,86
64,68
64,735
64,62
64,72
65,474
65,256
65,116
65,1015
65,294
65,248
65,6
66,1046
66,832
66,124
66,471
66,122
66,755
67,287
67,257
67,457
67,595
67,285
67,925
68,1143
68,1016
68,590
68,299
68,287
68,108
68,173
68,78
68,149
68,747
68,306
68,196
68,288
69,448
69,537
69,93
69,337
69,227
69,184
69,47
69,90
69,819
69,683
69,506
69,49
69,192
69,256
69,312
69,403
69,70
69,472
69,213
69,0
69,168
69,288
69,171
69,449
69,150
69,221
70,345
70,180
70,284
70,55
70,356
70,88
70,150
71,116
71,971
71,381
71,211
71,442
71,14
71,37
71,67
71,478
71,1
71,225
71,99
71,146
71,517
71,78
71,175
71,1147
71,508
71,97
71,567
71,202
71,684
71,227
71,646
71,483
71,196
71,580
72,6
72,1072
72,155
72,656
72,267
72,659
72,649
72,81
72,174
72,55
72,271
72,0
72,682
73,299
73,323
73,99
73,357
73,244
73,136
73,1083
74,407
74,116
74,110
74,120
74,150
74,113
74,596
74,1016
74,122
74,270
74,412
74,495
74,124
74,224
74,695
75,530
75,1128
75,1070
75,517
75,23
75,326
75,69
75,768
75,134
75,222
75,581
75,215
75,99
75,627
75,292
75,516
76,832
76,55
76,227
76,14
76,99
76,182
76,221
76,275
76,267
76,131
76,404
76,153
76,132
76,264
77,812
77,24
77,322
77,326
78,300
78,324
78,149
78,99
78,905
78,12
78,261
78,812
78,675
78,305
78,235
79,885
79,422
79,44
79,57
79,193
80,282
80,595
80,741
80,117
80,823
80,618
80,755
80,110
80,6
80,149
80,168
81,404
81,325
81,139
81,945
81,182
81,423
81,217
81,201
81,282
81,227
81,475
81,769
81,480
81,117
81,133
81,1032
81,111
81,167
81,342
81,49
81,522
81,1125
81,356
81,134
81,472
81,471
81,24
81,1161
81,27
81,275
81,293
81,660
81,12
82,831
82,1100
82,3
82,209
82,180
82,254
82,731
82,405
82,273
82,870
82,337
82,451
82,392
82,233
82,721
82,121
82,1059
82,150
82,410
82,37
82,622
82,662
82,475
82,738
82,844
