user,item
0,1286
0,1565
0,2320
0,3104
0,660
0,1245
0,526
0,1961
0,3407
0,47
1,1961
1,1596
1,1123
1,1791
1,1686
1,779
1,1384
1,1356
1,1095
1,355
1,234
1,2125
1,2426
1,1407
1,94
1,3256
1,647
1,919
1,1195
1,3029
1,3146
1,479
1,735
1,1526
1,291
2,652
2,2734
2,551
2,3867
2,1393
2,2857
2,1078
2,2354
2,1614
2,3167
3,1386
3,1239
3,1209
3,1213
4,2027
4,2691
4,2427
4,865
4,2559
4,1683
4,46
4,1278
4,33
4,2290
4,3078
4,912
4,49
4,2187
4,411
4,3050
4,2317
4,2986
4,1609
4,1682
4,1732
4,2598
4,352
4,2889
4,2332
4,1170
4,1649
4,3513
4,1965
4,1094
4,907
4,2158
4,3175
4,2352
4,2805
4,1528
4,1896
4,859
4,3408
5,1958
5,2965
5,3684
5,2395
5,3407
5,3577
5,3500
5,2320
5,2801
5,911
5,2405
5,589
5,1187
5,3071
6,456
6,1269
6,1220
6,2027
6,3255
6,376
7,1672
7,110
7,907
7,649
7,1579
7,2701
7,1264
7,1692
7,3499
7,523
7,1058
7,1800
7,229
7,1572
7,3258
7,2022
7,3527
7,1677
7,35
7,1465
7,3266
7,1620
7,2691
7,2005
7,2426
7,1273
7,1026
8,3269
8,2323
8,2027
8,2570
8,2293
8,507
8,1960
8,523
8,719
8,411
8,1445
8,3754
8,376
8,1264
8,479
8,3483
8,2857
8,299
8,804
8,1147
8,0
9,1202
9,3524
9,1199
9,1565
9,2323
9,207
9,3358
9,1926
9,931
9,1543
9,1512
9,1408
9,1123
9,152
9,2354
9,2077
9,1100
9,3947
9,2745
9,367
9,2090
9,1024
9,1386
9,3099
9,2093
9,2790
9,1242
9,2076
9,3480
9,3702
9,1583
9,3750
9,2079
9,970
9,1285
9,953
9,2621
9,2132
9,1255
9,1034
9,332
9,2529
9,1783
9,1087
9,1253
9,2053
9,1632
9,281
9,2017
9,366
9,1275
9,2108
9,1286
9,913
9,1281
9,942
9,61
9,1128
9,3362
9,2404
9,1233
9,1374
9,1616
9,670
9,3867
9,343
9,2192
9,2397
9,2046
9,3868
9,3500
9,3251
9,2627
9,1213
9,1917
9,2173
9,3033
9,2392
9,3470
9,3700
10,2506
10,1277
10,2135
10,2803
10,2281
10,1088
10,2857
10,2430
10,3395
10,2324
10,1135
10,3104
10,1497
10,2761
10,1572
10,3181
10,2305
10,2906
10,3808
10,1196
10,3498
10,332
10,787
10,993
10,3177
10,245
10,2579
11,2803
11,1232
11,998
11,2615
12,1526
12,1369
12,2967
12,2027
12,2053
12,2369
12,59
12,1203
12,2045
12,1445
12,433
12,2627
12,328
12,1371
12,49
12,2640
12,1008
12,3493
12,588
12,1286
12,317
13,1967
13,2761
13,3577
13,2857
13,2693
14,787
14,2881
14,2272
14,1197
14,366
14,2687
14,2320
14,1999
14,3797
14,499
14,3177
14,1638
14,652
14,2495
14,1421
14,2616
14,256
14,1270
14,1809
14,2723
14,2915
14,1192
14,1703
14,2301
14,732
14,1465
14,2996
14,3080
14,779
14,2426
14,1526
14,2388
14,627
14,1731
14,2693
14,3460
14,2057
14,3255
14,2718
14,2423
15,2567
15,2554
15,2769
15,2698
15,2974
15,2393
15,2391
16,2139
16,29
16,3826
